# date,time_utc,latitude,longitude,satellites,altitude_m,speed_kmh,fix
,,,,,,,NO_FIX
2026-06-20,18:26:29,48.151597,11.585969,12,525.20,0.07,VALID
2026-06-20,18:26:30,48.151597,11.585970,12,525.20,0.11,VALID
2026-06-20,18:26:31,48.151594,11.585956,12,524.70,0.09,VALID
2026-06-20,18:26:32,48.151594,11.585955,12,524.70,0.20,VALID
2026-06-20,18:26:33,48.151592,11.585942,12,524.30,0.26,VALID
2026-06-20,18:26:34,48.151590,11.585938,12,524.20,0.13,VALID
2026-06-20,18:26:35,48.151591,11.585940,12,524.30,0.04,VALID
2026-06-20,18:26:36,48.151591,11.585942,12,524.40,0.09,VALID
2026-06-20,18:26:37,48.151593,11.585950,12,524.70,0.30,VALID
2026-06-20,18:26:38,48.151592,11.585947,12,524.80,0.33,VALID
2026-06-20,18:26:39,48.151592,11.585945,12,524.70,0.17,VALID
2026-06-20,18:26:40,48.151593,11.585945,12,524.80,0.09,VALID
2026-06-20,18:26:41,48.151593,11.585945,12,524.80,0.07,VALID
2026-06-20,18:26:42,48.151593,11.585945,12,524.70,0.17,VALID
2026-06-20,18:26:43,48.151594,11.585950,12,524.90,0.35,VALID
2026-06-20,18:26:44,48.151594,11.585950,12,525.00,0.09,VALID
2026-06-20,18:26:45,48.151595,11.585947,12,525.10,0.20,VALID
2026-06-20,18:26:46,48.151595,11.585942,12,525.10,0.11,VALID
2026-06-20,18:26:47,48.151596,11.585937,12,525.00,0.24,VALID
2026-06-20,18:26:48,48.151596,11.585930,12,524.90,0.30,VALID
2026-06-20,18:26:49,48.151596,11.585923,12,524.90,0.28,VALID
2026-06-20,18:26:50,48.151595,11.585914,12,524.60,0.04,VALID
2026-06-20,18:26:51,48.151593,11.585901,12,524.30,0.17,VALID
2026-06-20,18:46:57,,,0,,,NO_FIX
2026-06-20,18:46:59,,,0,,,NO_FIX
2026-06-20,18:47:00,,,0,,,NO_FIX
2026-06-20,18:47:01,,,0,,,NO_FIX
2026-06-20,18:47:02,,,0,,,NO_FIX
2026-06-20,18:47:03,,,0,,,NO_FIX
2026-06-20,18:47:04,,,0,,,NO_FIX
2026-06-20,18:47:05,,,0,,,NO_FIX
2026-06-20,18:47:06,,,0,,,NO_FIX
2026-06-20,18:47:07,,,0,,,NO_FIX
2026-06-20,18:47:08,,,0,,,NO_FIX
2026-06-20,18:47:09,,,0,,,NO_FIX
2026-06-20,18:47:10,,,0,,,NO_FIX
2026-06-20,18:47:11,,,0,,,NO_FIX
2026-06-20,18:47:12,,,0,,,NO_FIX
2026-06-20,18:47:13,,,0,,,NO_FIX
2026-06-20,18:47:14,,,0,,,NO_FIX
2026-06-20,18:47:15,,,0,,,NO_FIX
2026-06-20,18:47:16,,,0,,,NO_FIX
2026-06-20,18:47:17,,,0,,,NO_FIX
2026-06-20,18:47:18,,,0,,,NO_FIX
2026-06-20,18:47:19,,,0,,,NO_FIX
2026-06-20,18:47:20,,,0,,,NO_FIX
2026-06-20,18:47:20,,,3,,,NO_FIX
2026-06-20,18:47:21,,,3,,,NO_FIX
2026-06-20,18:47:22,,,0,,,NO_FIX
2026-06-20,18:47:23,,,0,,,NO_FIX
2026-06-20,18:47:24,,,0,,,NO_FIX
2026-06-20,18:47:25,,,0,,,NO_FIX
2026-06-20,18:47:26,,,0,,,NO_FIX
2026-06-20,18:47:27,,,0,,,NO_FIX
2026-06-20,18:47:28,,,0,,,NO_FIX
2026-06-20,18:47:29,,,0,,,NO_FIX
2026-06-20,18:47:30,,,0,,,NO_FIX
2026-06-20,18:47:31,,,3,,,NO_FIX
2026-06-20,18:47:32,,,6,,,NO_FIX
2026-06-20,18:47:33,,,5,,,NO_FIX
2026-06-20,18:47:34,,,4,,,NO_FIX
2026-06-20,18:47:35,,,5,,,NO_FIX
2026-06-20,18:47:36,,,4,,,NO_FIX
2026-06-20,18:47:37,,,4,,,NO_FIX
2026-06-20,18:47:38,,,0,,,NO_FIX
2026-06-20,18:47:39,,,4,,,NO_FIX
2026-06-20,18:47:40,,,0,,,NO_FIX
2026-06-20,18:47:41,,,4,,,NO_FIX
2026-06-20,18:47:42,,,0,,,NO_FIX
2026-06-20,18:47:43,,,0,,,NO_FIX
2026-06-20,18:47:44,,,0,,,NO_FIX
2026-06-20,18:47:45,,,3,,,NO_FIX
2026-06-20,18:47:46,,,0,,,NO_FIX
2026-06-20,18:47:47,,,0,,,NO_FIX
2026-06-20,18:47:48,,,0,,,NO_FIX
2026-06-20,18:47:49,,,0,,,NO_FIX
2026-06-20,18:47:50,,,0,,,NO_FIX
2026-06-20,18:47:51,,,0,,,NO_FIX
2026-06-20,18:47:52,,,0,,,NO_FIX
2026-06-20,18:47:53,,,0,,,NO_FIX
2026-06-20,18:47:54,,,0,,,NO_FIX
2026-06-20,18:47:55,,,0,,,NO_FIX
2026-06-20,18:47:57,,,0,,,NO_FIX
2026-06-20,18:47:58,,,0,,,NO_FIX
2026-06-20,18:47:59,,,0,,,NO_FIX
2026-06-20,18:48:00,,,0,,,NO_FIX
2026-06-20,18:48:01,,,0,,,NO_FIX
2026-06-20,18:48:02,,,0,,,NO_FIX
2026-06-20,18:48:03,,,0,,,NO_FIX
2026-06-20,18:48:04,,,0,,,NO_FIX
2026-06-20,18:48:05,,,0,,,NO_FIX
2026-06-20,18:48:06,,,0,,,NO_FIX
2026-06-20,18:48:07,,,0,,,NO_FIX
2026-06-20,18:48:08,,,0,,,NO_FIX
2026-06-20,18:48:09,,,0,,,NO_FIX
2026-06-20,18:48:10,,,0,,,NO_FIX
2026-06-20,18:48:11,,,0,,,NO_FIX
2026-06-20,18:48:12,,,0,,,NO_FIX
2026-06-20,18:48:13,,,0,,,NO_FIX
2026-06-20,18:48:14,,,0,,,NO_FIX
2026-06-20,18:48:15,,,0,,,NO_FIX
2026-06-20,18:48:16,,,0,,,NO_FIX
2026-06-20,18:48:17,,,0,,,NO_FIX
2026-06-20,18:48:18,,,0,,,NO_FIX
2026-06-20,18:48:19,,,0,,,NO_FIX
2026-06-20,18:48:20,,,0,,,NO_FIX
2026-06-20,18:48:21,,,0,,,NO_FIX
2026-06-20,18:48:22,,,0,,,NO_FIX
2026-06-20,18:48:23,,,0,,,NO_FIX
2026-06-20,18:48:24,,,0,,,NO_FIX
2026-06-20,18:48:25,,,0,,,NO_FIX
2026-06-20,18:48:26,,,0,,,NO_FIX
2026-06-20,18:48:27,,,0,,,NO_FIX
2026-06-20,18:48:28,,,0,,,NO_FIX
2026-06-20,18:48:29,,,0,,,NO_FIX
2026-06-20,18:48:30,,,0,,,NO_FIX
2026-06-20,18:48:31,,,0,,,NO_FIX
2026-06-20,18:48:32,,,0,,,NO_FIX
2026-06-20,18:48:33,,,0,,,NO_FIX
2026-06-20,18:48:34,,,0,,,NO_FIX
2026-06-20,18:48:35,,,0,,,NO_FIX
2026-06-20,18:48:36,,,0,,,NO_FIX
2026-06-20,18:48:37,,,0,,,NO_FIX
2026-06-20,18:48:38,,,0,,,NO_FIX
2026-06-20,18:48:39,,,0,,,NO_FIX
2026-06-20,18:48:40,,,0,,,NO_FIX
2026-06-20,18:48:41,,,0,,,NO_FIX
2026-06-20,18:48:42,,,0,,,NO_FIX
2026-06-20,18:48:43,,,0,,,NO_FIX
2026-06-20,18:48:44,,,0,,,NO_FIX
2026-06-20,18:48:45,,,0,,,NO_FIX
2026-06-20,18:48:46,,,0,,,NO_FIX
2026-06-20,18:48:47,,,0,,,NO_FIX
2026-06-20,18:48:48,,,0,,,NO_FIX
2026-06-20,18:48:49,,,0,,,NO_FIX
2026-06-20,18:48:50,,,0,,,NO_FIX
2026-06-20,18:48:51,,,0,,,NO_FIX
2026-06-20,18:48:52,,,0,,,NO_FIX
2026-06-20,18:48:53,,,0,,,NO_FIX
2026-06-20,18:48:54,,,0,,,NO_FIX
2026-06-20,18:48:55,,,0,,,NO_FIX
2026-06-20,18:48:56,,,0,,,NO_FIX
2026-06-20,18:48:57,,,0,,,NO_FIX
2026-06-20,18:48:58,,,0,,,NO_FIX
2026-06-20,18:48:59,,,0,,,NO_FIX
2026-06-20,18:49:00,,,0,,,NO_FIX
2026-06-20,18:49:01,,,0,,,NO_FIX
2026-06-20,18:49:02,,,0,,,NO_FIX
2026-06-20,18:49:03,,,0,,,NO_FIX
2026-06-20,18:49:04,,,0,,,NO_FIX
2026-06-20,18:49:05,,,0,,,NO_FIX
2026-06-20,18:49:06,,,0,,,NO_FIX
2026-06-20,18:49:07,,,0,,,NO_FIX
2026-06-20,18:49:08,,,0,,,NO_FIX
